,Titulo,Area
0,As Transformações Climáticas e as Áreas Verdes Urbanas,Climatologia e Mudanças Ambientais
1,Ciência do Solo para a Agricultura Sustentável,Agronomia e Agricultura
2,O Impacto das Tecnologias na Indústria Automotiva,Engenharia Automotiva
3,O Uso de Drones para a Coleta de Dados Ambientais,Engenharia Ambiental
4,A Nanotecnologia e a Medicina Personalizada,Nanotecnologia e Medicina
5,A Utilização de Inteligência Artificial na Previsão de Desastres Naturais,Inteligência Artificial e Desastres Naturais
6,A Ciência do Envelhecimento e seus Benefícios para a Saúde,Gerontologia e Saúde
7,A Comunicação em Tempos de Tecnologia: A Evolução do Jornalismo,Comunicação e Tecnologia
8,A Importância do Estudo da Biologia Marinha para a Conservação Ambiental,Biologia Marinha e Conservação
9,Os Benefícios da Atividade Física na Saúde Mental,Psicologia e Saúde
10,A Biomecânica para a Melhoria de Performances de Atletas,Biomecânica Esportiva
11,A Inovação na Indústria da Moda: Sustentabilidade e Design,Moda Sustentável e Design
12,A Química Verde e a Indústria de Cosméticos,Química Verde e Cosméticos
13,O Papel da Engenharia Civil na Construção de Edifícios Eco-sustentáveis,Engenharia Sustentável
14,A Zoologia e a Preservação de Animais Ameaçados de Extinção,Zoologia e Preservação
15,O Estudo da Geologia para a Prevenção de Desastres Naturais,Geologia e Prevenção de Desastres
16,O Papel da Física na Engenharia Aeroespacial,Física e Engenharia Aeroespacial
17,A Biologia Celular e suas Implicações na Medicina,Biologia Celular e Medicina
18,A Pedagogia e a Inclusão de Pessoas com Deficiência,Pedagogia e Inclusão
19,A Microbiologia e seus Benefícios para a Indústria Alimentícia,Microbiologia e Indústria Alimentícia
20,A Engenharia de Alimentos e a Produção de Alimentos Saudáveis,Engenharia de Alimentos e Nutrição
21,A Bioquímica e a Pesquisa de Novos Medicamentos,Bioquímica e Pesquisa de Medicamentos
22,A Antropologia e a Compreensão das Diferenças Culturais,Antropologia e Diversidade Cultural
23,O Papel da Ecologia na Conservação da Biodiversidade,Ecologia e Conservação da Biodiversidade
24,A Matemática na Análise de Big Data,Matemática e Análise de Big Data
25,A História da Ciência e suas Implicações na Atualidade,História da Ciência e Atualidade
26,A Sociologia e suas Contribuições para Compreensão da Sociedade,Sociologia e Compreensão da Sociedade
0,Modelagem de sistemas climáticos globais,Ciências Atmosféricas
1,Modelagem de ciclos de nutrientes em ecossistemas terrestres,Ciências Ambientais
2,Estudo da biodiversidade em áreas protegidas,Biologia da Conservação
3,Análise de riscos em projetos de energia renovável,Engenharia de Energia
4,Eficácia de tratamentos para doenças infecciosas,Ciências Médicas
5,Desenvolvimento de novos curativos para cicatrização de feridas,Engenharia de Biomateriais
6,Modelagem de tráfego urbano e planejamento de transportes,Engenharia de Transportes
7,Desenvolvimento de células solares eficientes,Engenharia de Materiais
8,Estudos de melhorias em processos de manufatura,Engenharia de Produção
9,Desenvolvimento de sistemas robóticos inteligentes,Ciência da Computação
10,Estudos de previsão de terremotos,Geofísica
11,Estudos de ocorrência de tsunamis em regiões costeiras,Oceanografia
12,Estudos de impacto ambiental de construções,Engenharia Ambiental
13,Estudos epidemiológicos de doenças crônicas,Epidemiologia
14,Desenvolvimento de vacinas eficazes contra COVID-19,Imunologia
15,Análise de riscos em projetos de engenharia civil,Engenharia Civil
16,Desenvolvimento de novos materiais para baterias de carros elétricos,Engenharia de Materiais
17,Estudos de impacto do aquecimento global nos oceanos,Oceanografia
18,Estudos de genômica de espécies ameaçadas de extinção,Biologia Molecular
19,Estudos de impacto ambiental de exploração de petróleo,Geologia
20,Desenvolvimento de sistemas de inteligência artificial para a indústria,Ciência da Computação
21,Estudos de microplásticos em regiões costeiras,Oceanografia
22,Estudos de populações migratórias de aves,Ornitologia
23,Estudos de dinâmica populacional de espécies marinhas,Oceanografia
24,Estudos de impacto ambiental de usinas hidroelétricas,Engenharia Ambiental
25,Desenvolvimento de novos materiais para implantes médicos,Engenharia Biomédica
26,Estudos de impacto ambiental de mineração,Geologia
27,Estudos de anatomia e fisiologia de animais selvagens,Zoologia
0,Estudo da variação do clima global nos últimos 100 anos,Climatologia
1,Análise de impacto da poluição atmosférica na saúde humana,Saúde Pública
2,Mapeamento da biodiversidade na floresta amazônica,Ecologia
3,Análise das tendências de crescimento populacional mundial,Demografia
4,Avaliação da qualidade da água em rios e lagos,Hidrologia
5,Estudo de comportamento dos animais em cativeiro,Zoologia
6,Análise de técnicas de reciclagem de resíduos sólidos urbanos,Engenharia Ambiental
7,Estudo das alterações nos ecossistemas marinhos devido à acidificação dos oceanos,Oceanografia
8,Investigação das doenças mais comuns em países subdesenvolvidos,Medicina Tropical
9,Estudo da relação entre a atividade solar e as mudanças climáticas,Astrofísica
10,Análise dos efeitos da radiação ionizante na saúde dos trabalhadores de usinas nucleares,Radiologia
11,Estudo das interações entre plantas e polinizadores,Botânica
12,Análise da resistência bacteriana a antimicrobianos,Microbiologia
13,Mapeamento dos terremotos ao redor do mundo,Sismologia
14,Avaliação da efetividade de vacinas em prevenir doenças,Imunologia
15,Estudo da relação entre atividade humana e a mudança da paisagem no meio urbano,Geografia Urbana
16,Análise da utilização de fontes renováveis de energia no mundo,Energia Renovável
17,Mapeamento do genoma humano,Genética
18,Estudo da relação entre o nível do mar e a mudança climática,Oceanografia
0,Estudo da variação do clima global nos últimos 100 anos,Climatologia
1,Análise de impacto da poluição atmosférica na saúde humana,Saúde Pública
2,Mapeamento da biodiversidade na floresta amazônica,Ecologia
3,Análise das tendências de crescimento populacional mundial,Demografia
4,Avaliação da qualidade da água em rios e lagos,Hidrologia
5,Estudo de comportamento dos animais em cativeiro,Zoologia
6,Análise de técnicas de reciclagem de resíduos sólidos urbanos,Engenharia Ambiental
7,Estudo das alterações nos ecossistemas marinhos devido à acidificação dos oceanos,Oceanografia
8,Investigação das doenças mais comuns em países subdesenvolvidos,Medicina Tropical
9,Estudo da relação entre a atividade solar e as mudanças climáticas,Astrofísica
10,Análise dos efeitos da radiação ionizante na saúde dos trabalhadores de usinas nucleares,Radiologia
11,Estudo das interações entre plantas e polinizadores,Botânica
12,Análise da resistência bacteriana a antimicrobianos,Microbiologia
13,Mapeamento dos terremotos ao redor do mundo,Sismologia
14,Avaliação da efetividade de vacinas em prevenir doenças,Imunologia
15,Estudo da relação entre atividade humana e a mudança da paisagem no meio urbano,Geografia Urbana
16,Análise da utilização de fontes renováveis de energia no mundo,Energia Renovável
17,Mapeamento do genoma humano,Genética
18,Estudo da relação entre o nível do mar e a mudança climática,Oceanografia
0,Estudo da Evolução das Bactérias na Era Pós-Antibióticos,Microbiologia
1,Simulação de Mudanças Climáticas na Floresta Amazônica,Ecologia
2,Análise de Dados Genômicos para Diagnóstico de Câncer,Biomedicina
3,Efeitos da Poluição na Saúde Pública de Grandes Cidades,Saúde Coletiva
4,Explorando a Biologia das Células-Tronco,Biotecnologia
5,Modelagem de Sistemas Complexos através de Redes Neurais,Inteligência Artificial
6,Descobrindo Curas para Doenças Raras,Medicina
7,Desenvolvendo Novas Tecnologias para Combate ao Câncer,Oncologia
8,Estudo do Desenvolvimento de Embriões para Melhoramento Genético,Reprodução Animal
9,Estudo dos Comportamentos Emergentes em Sistemas Sociais Complexos,Sociologia
10,Análise em Tempo Real da Qualidade do Ar em Grandes Áreas Urbanas,Ciência Ambiental
11,Usando Redes Complexas para Identificação de Padrões em Dados Genômicos,Biologia de Sistemas
12,Estudo da Física Quântica Aplicada à Computação,Física
13,Desenvolvimento de Novos Materiais para Energias Renováveis,Engenharia de Materiais
14,Análise de Dados Sísmicos para Prever Terremotos,Geologia
15,Prevenção de Epidemias através de Modelos Matemáticos,Estatística
16,Estudo da Relação Entre Alimentação e Desenvolvimento Cognitivo em Crianças,Nutrição
17,Desenvolvimento de Tecnologias para Reciclagem de Plásticos,Engenharia Química
18,Análise de Dados Climáticos para Prever Desastres Naturais,Meteorologia
19,Estudo da Biologia de Plantas Medicinais para Desenvolvimento de Fármacos,Farmacologia
20,Desenvolvimento de Novas Fontes de Energia Limpa,Energia
21,Análise de Dados de Neuroimagem para Entender a Mente Humana,Neurociência
22,Estudo da Geografia Humana para Entender a Distribuição Populacional Global,Geografia
23,Desenvolvimento de Tecnologias para Monitoramento do Desmatamento da Amazônia,Sensoriamento Remoto
24,Estudo das Relações Entre Espécies em Ecossistemas Complexos,Ecologia de Comunidades
25,Desenvolvimento de Novas Tecnologias para Depuração de Água em Regiões Carentes,Engenharia Ambiental
26,Análise da Relação Entre Alimentação e Desenvolvimento de Doenças Crônicas,Epidemiologia Nutricional
27,Estudo da Matemática do Big Data para Aplicações em Ciência de Dados,Matemática Aplicada
28,Desenvolvimento de Tecnologias para Exploração Sustentável de Recursos Marinhos,Oceanografia
0,Tecnologia Blockchain e sua aplicação na Agricultura de Precisão,Agricultura de Precisão
1,Agricultura e Mudanças Climáticas,Agricultura
2,Avaliação dos Impactos da Poluição Ambiental na Saúde Humana,Poluição Ambiental
3,Ciências Ambientais e Saúde Pública,Ciências Ambientais
4,Modelagem Matemática na Previsão de Epidemias,Epidemias
5,Epidemiologia,Epidemiologia
6,Desenvolvimento de Algoritmos para Análise de Dados Climáticos,Climatologia
7,Meteorologia e Climatologia,Meteorologia
8,Biologia Sintética e suas Aplicações na Medicina Regenerativa,Medicina Regenerativa
9,Biologia Molecular e Engenharia Genética,Biologia Molecular
10,Estudos da Matéria Escura e sua Influência no Universo,Matéria Escura
11,Astronomia e Astrofísica,Astronomia
12,Desenvolvimento de Sensores para Detecção de Contaminação em Águas Subterrâneas,Contaminação em Águas Subterrâneas
13,Recursos Hídricos e Ambiental,Recursos Hídricos
14,Para Além da Inteligência Artificial: Interfaces Cérebro-Máquina,Inteligência Artificial
15,Neurociência e Computação,Neurociência
16,Estudos sobre a Criptografia Pós-quântica,Criptografia
17,Criptografia,Segurança da Informação
18,Tecnologia de Aprendizado de Máquina para Prever a Propagação do Câncer,Aprendizado de Máquina
19,Oncologia,Oncologia
20,Espirometria no Diagnóstico de Doenças Respiratórias,Doenças Respiratórias
21,Pneumologia e Fisiologia,Pneumologia
22,Estudo sobre a Ação Anti-inflamatória e Antioxidante de Compostos Vegetais,Compostos Vegetais
23,Bioquímica e Fitoterapia,Bioquímica
24,Aplicação da Realidade Virtual na Educação a Distância,Realidade Virtual
25,Educação e Tecnologia,Educação
26,Desenvolvimento de Biomateriais para Regeneração Óssea,Regeneração Óssea
27,Engenharia Biomédica e Ortopedia,Engenharia Biomédica
28,Desenvolvimento de Tecnologias para Tratamento de Águas Residuais Industriais,Tratamento de Águas Residuais
29,Engenharia Ambiental e Química,Engenharia Ambiental
30,Estudos sobre a Ecologia de Paisagens Urbanas,Ecologia
31,Ecologia e Paisagismo,Paisagismo
0,Explorando a dinâmica da vida marinha em ecossistemas costeiros,Biologia Marinha
1,Desenvolvimento de modelos de previsão de terremotos por meio de aprendizado de máquina,Geologia
2,Estudos de estabilidade de redes de energia elétrica inteligentes,Engenharia Elétrica
3,Aplicação de modelos de previsão de epidemias usando deep learning,Epidemiologia
4,Análise da distribuição de espécies de aves em diferentes habitats,Ecologia
5,Desenvolvimento de métodos de análise de dados para detecção de fraude em transações financeiras,Ciência da Computação
6,Estudos de mudanças climáticas usando satélites e modelos numéricos,Climatologia
7,Investigando a ação de compostos químicos na cura do câncer,Biomedicina
8,Análise de riscos ambientais com base em informações geoespaciais,Geografia
9,Estudos de comportamento animal em ambientes urbanos,Zoologia
10,"Desenvolvimento de ferramentas para predição de mercado financeiro, baseado em históricos de negociação",Ciências Econômicas
11,Estudos de impacto ambiental de parques eólicos offshore,Engenharia Ambiental
12,Desenvolvimento de novos materiais a partir de nanotecnologia,Física
13,Explorando o comportamento de sistemas dinâmicos com redes complexas,Matemática
14,Estudos de gestão de cadeias de suprimentos usando inteligência artificial,Administração
15,Análise do papel dos microbiomas em enfermidades autoimunes,Imunologia
16,Estudo da poluição sonora em ambientes urbano utilizando machine learning,Acústica
17,Desenvolvimento de redes neurais para classificação de imagens médicas,Radiologia
18,A importância do uso de energias renováveis em países em desenvolvimento,Energias Renováveis
19,Explorando os impactos de eventos extremos na estrutura de redes elétricas,Engenharia de Energia
20,Estudos da relação entre poluição e alergias em ambientes urbanos,Alergologia
21,Desenvolvimento de modelos de previsão de desastres naturais usando aprendizado de máquina,Geologia
22,Estudos de ecologia de zonas úmidas em diferentes partes do mundo,Ecologia
23,Desenvolvimento de novos tratamentos para doenças autoimunes,Farmacologia
24,Análise da conectividade de redes de transporte público em grandes cidades,Transportes
25,Estudo de mecanismos de envelhecimento humano a partir de análise de circuitos celulares,Biologia Molecular
26,Desenvolvimento de algoritmos para análise de grande quantidade de dados em tempo real,Ciência da Computação
27,Estudos de diversidade de animais marinhos na costa brasileira,Oceanografia
28,Desenvolvimento de novas tecnologias para polinização de culturas agrícolas,Agronomia
0,Os impactos da mudança climática na biodiversidade,Ecologia
1,Desenvolvimento de novos materiais para captura de CO2,Química
2,Novas tecnologias para o tratamento de água,Engenharia ambiental
3,Entendendo a dinâmica dos oceanos,Oceanografia
4,Avaliando a efetividade das políticas de conservação,Biologia da Conservação
5,Desenvolvimento de novas terapias para doenças neurodegenerativas,Neurociência
6,Estudos epidemiológicos de doenças infecciosas emergentes,Epidemiologia
7,Desenvolvimento de novos tratamentos para doenças cardiovasculares,Cardiologia
8,Novas tecnologias para diagnóstico e tratamento do câncer,Oncologia
9,Desenvolvimento de tecnologias para agricultura sustentável,Agronomia
10,Estudos sobre a interação entre plantas e microorganismos do solo,Microbiologia
11,Avaliação de impactos ambientais de atividades industriais,Ciências Ambientais
12,Desenvolvimento de novos materiais para energia solar,Física
13,Caracterização de materiais nanoestruturados,Nanotecnologia
14,Estudos sobre a transmissão de energia elétrica,Engenharia elétrica
15,Desenvolvimento de sistemas de armazenamento de energia,Engenharia de materiais
16,Novas tecnologias para monitoramento de poluentes atmosféricos,Engenharia química
17,Avaliação de riscos ambientais em áreas contaminadas,Toxicologia
18,Desenvolvimento de novos sensores para detecção de contaminação por metais pesados,Bioquímica
19,Estudos sobre patógenos em culturas agrícolas,Fitopatologia
20,Avaliação da qualidade do ar em áreas urbanas,Ciências atmosféricas
21,Desenvolvimento de sistemas para uso de águas de reúso,Recursos hídricos
22,Novas tecnologias para simulação de processos químicos,Engenharia de processos
23,Avaliação da qualidade da água em rios e lagos,Limnologia
24,Desenvolvimento de novos materiais para baterias de íons de lítio,Química de materiais
25,Estudos sobre a interação entre a atmosfera e a biosfera,Ciências da atmosfera
26,Desenvolvimento de novos métodos para a análise de dados em genômica,Genética
27,Novas soluções para a gestão de resíduos sólidos,Gestão ambiental
28,Avaliação da eficácia de programas de controle de doenças tropicais,Medicina tropical
0,Tecnologias limpas para a indústria do petróleo,Energia
1,Engenharia de materiais para dispositivos semicondutores,Física
2,Sustentabilidade urbana: estratégias para cidades inteligentes,Arquitetura e Urbanismo
3,Desenvolvimento de biocombustíveis a partir de resíduos agrícolas,Química
4,Biomateriais para regeneração óssea,Medicina
5,Estudo dos efeitos da contaminação ambiental na saúde humana,Saúde Pública
6,Tecnologias verdes para a produção de alimentos,Agricultura
7,Pesquisa de novos fármacos para o tratamento de doenças neurológicas,Farmacologia
8,Estudo da genética de populações para a conservação de espécies ameaçadas,Biologia
9,Soluções sustentáveis para a mobilidade urbana,Engenharia de Transportes
10,Desenvolvimento de novos materiais para aplicação em energia renovável,Energias Renováveis
11,Estudo dos impactos do aquecimento global nos ecossistemas marinhos,Oceanografia
12,Desenvolvimento de soluções tecnológicas para a prevenção de desastres naturais,Geologia
13,Economia circular: redução de resíduos e aproveitamento de recursos,Economia
14,Estudo de novos métodos de recuperação de solos degradados,Agronomia
15,Desenvolvimento de tecnologias em eficiência energética para a indústria,Engenharia Elétrica
16,Estudo da biologia molecular de plantas para o desenvolvimento de novas variedades,Biotecnologia
17,Inovações em tratamentos de águas residuais,Engenharia Sanitária
18,Pesquisa de novas fontes de energia limpa,Energias alternativas
19,Soluções para o controle da poluição atmosférica em áreas urbanas,Meio Ambiente
20,Estudos de biotecnologia para produção de biomassa,Bioquímica
21,Desenvolvimento de tecnologias para a reciclagem de resíduos eletrônicos,Engenharia de Resíduos
22,Estudo da paleontologia para a compreensão da evolução da vida,Paleontologia
23,Desenvolvimento de tecnologias para redução de gases de efeito estufa,Química Ambiental
24,Investigação de novos compostos orgânicos para aplicação em medicamentos,Química Orgânica
25,Aperfeiçoamento de técnicas agrícolas para aumento da produtividade,Ciência dos Alimentos
26,Estudo da ecologia de comunidades para conservação de espécies,Ecologia
27,Tecnologias de informação e comunicação para a promoção da sustentabilidade,Tecnologia da Informação
28,Desenvolvimento de tecnologias para a produção de alimentos orgânicos,Agroecologia
0,Tecnologias avançadas para monitoramento ambiental em áreas urbanas,Meio ambiente
1,Desenvolvimento de métodos eficientes para armazenamento de energia em baterias,Energia e eletricidade
2,Desenvolvimento de novos materiais para construção sustentável,Engenharia civil
3,Estudo da biomecânica da marcha humana para desenvolvimento de próteses mais eficientes,Medicina e ciências da saúde
4,Análise de dados para prevenção de epidemias e pandemias,Epidemiologia
5,Criação de ferramentas para detecção de deepfake e combate à desinformação nas redes sociais,Computação e tecnologia da informação
6,Desenvolvimento de sensores ópticos para identificação de substâncias químicas perigosas,Química e toxicologia
7,Estudo da mobilidade urbana e desenvolvimento de soluções para transporte mais eficiente,Engenharia de transportes
8,Monitoramento do derretimento de geleiras e impactos no meio ambiente,Meio ambiente
9,Análise do impacto das mudanças climáticas na produção agrícola,Agricultura e meio ambiente
10,Desenvolvimento de novas tecnologias para energia solar,Energia e eletricidade
11,Estudo da estrutura do DNA para desenvolvimento de novos tratamentos de doenças genéticas,Genética e biologia molecular
12,Criação de algoritmos para melhorar a precisão de diagnósticos médicos,Medicina e ciências da saúde
13,Desenvolvimento de novos materiais para armazenamento de hidrogênio,Energia e eletricidade
14,Estudo da genética de populações para compreensão da evolução humana,Genética e biologia molecular
15,Desenvolvimento de sistemas de inteligência artificial para análise de imagens de satélite,Computação e tecnologia da informação
16,Monitoramento de vulcões e desenvolvimento de sistemas de alerta precoce,Geologia e geofísica
17,Desenvolvimento de próteses robóticas para membros inferiores,Tecnologia e engenharia de robôs
18,Estudo da nanotecnologia para desenvolvimento de novos materiais,Química e nanotecnologia
19,Desenvolvimento de software para melhorar a eficiência energética em edifícios,Engenharia civil e computação
20,Monitoramento de florestas tropicais e desenvolvimento de soluções para desmatamento ilegal,Meio ambiente
21,Desenvolvimento de tecnologias para tratamento de água em comunidades carentes,Engenharia ambiental e saneamento
22,Estudo de redes neurais para melhorar a previsão de terremotos,Geologia e computação
23,Desenvolvimento de tecnologias para recuperação de áreas degradadas,Engenharia ambiental e meio ambiente
24,Criação de sistemas de detecção de fraude em dados financeiros,Ciências econômicas e computação
25,Estudo da biomecânica do voo de pássaros para desenvolvimento de aviação mais sustentável,Engenharia aeronáutica e meio ambiente
26,Desenvolvimento de tecnologias para reciclagem de plásticos,Engenharia ambiental e química
27,Estudo da microbiologia do solo para desenvolvimento de soluções para combate à desertificação,Engenharia ambiental e biologia
28,Desenvolvimento de métodos para detecção de câncer de mama mais precisa,Medicina e ciências da saúde
